Index,Question Number,Answer,True Grade,GPT-4,GPT-3.5,Llama 2 Chat 70B,Llama 2 Chat 13B,Embeddings similarity
0,1.a,"s5, h8, H7, S4, S1, H3, H6, s4, H5, h7, H4, h5, s3, h6.",0.8,0.4,0.6,0.8,0.6,0.8420
1,1.b,"7 equipamentos um cenário em que este máximo é atingido: h1, s1, h4, h5, s5, h9, h11",1,1,1,0.8,0.6,0.8629
2,2.a,"será transmitido pelos enlaces 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1,0,1,1,0.4,0.9499
3,2.b,"Sim. Adições:
Switche S2: destino h3, interface 4 Switche S1: destino h3, interface 1 Switche S4: destino h3, interface 9 Switche S3: destino h3, interface 5",1,1,1,0.8,0.6,0.9374
4,3.a,"enlace 1:
Origem: 217.143.104.91 Destino: 81.53.223.8 TTL: 32
enlace 2:
Origem: 217.143.104.91 Destino: 81.53.223.8 TTL: 32
enlace 3:
Origem: 217.143.104.91 Destino: 81.53.223.8 TTL: 31
enlace 4:
Origem: 217.143.104.91 Destino: 81.53.223.8 TTL: 30
enlace 5:
Origem: 217.143.104.91 Destino: 81.53.223.8 TTL: 30",1,1,1,0.8,0.6,0.9416
5,3.b,"enlace 1:
Origem: e2:d1:b6:. . . Destino: 2a:8d:78:. . .
enlace 2:
Origem: e2:d1:b6:. . . Destino: 2a:8d:78:. . .
enlace 3:
Origem: 76:f0:46:. . . Destino: 7a:de:bf:. . .
enlace 4:
Origem: : ca:0d:f1:. . . Destino: 8e:c1:6d:. . .
enlace 5:
Origem: ca:0d:f1:. . . Destino: 8e:c1:6d:. . .",1,1,1,0.8,0.4,0.9221
6,4.a,"PKT1 recepção em t = 2,0s PKT2 recepção em t = 3,0s PKT3 recepção em t = 4,0s PKT4 recepção em t = 5,5s PKT5 recepção em t = 6,0s PKT6 recepção em t = 8,0s PKT7 recepção em t = 7,0s PKT8 recepção em t = 9,5s PKT9 recepção em t = 11,5s PKT10 recepção em t = 13,0s PKT11 recepção em t = 13,0s PKT12 recepção em t = 13,5s PKT13 recepção em t = 15,0s PKT14 recepção em t = 16,5s PKT15 recepção em t = 18,5s PKT16 recepção em t = 20,5s PKT17 recepção em t = 20,5s PKT18 recepção em t = 22,5s",0,0.9,0.5,0.8,0.8,0.9554
7,4.b,"PKT1 reprodução escalonada para t = 5,0s
PKT2 reprodução escalonada para t = 6,0s
PKT3 reprodução escalonada para t = 7,0s
PKT4 reprodução escalonada para t = 8,0s
PKT5 reprodução escalonada para t = 9,0s
PKT6 reprodução escalonada para t = 10,0s
PKT7 reprodução escalonada para t = 11,0s
PKT8 reprodução escalonada para t = 12,0s
PKT9 reprodução escalonada para t = 13,0s
PKT10 reprodução escalonada para t = 14,0s
PKT11 reprodução escalonada para t = 15,0s
PKT12 reprodução escalonada para t = 16,0s
PKT13 reprodução escalonada para t = 17,0s
PKT14 reprodução escalonada para t = 18,0s
PKT15 reprodução escalonada para t = 19,0s
PKT16 reprodução escalonada para t = 20,0s
PKT17 reprodução escalonada para t = 21,0s
PKT18 reprodução escalonada para t = 22,0s
",0,0,0,0.4,0.6,0.9621
8,4.c,Sim. Pacotes 16 e 18.,0,0.4,0.8,0.8,0.8,0.8872
9,4.d,"2/18 ~= 11,11%",0,0,0.8,0.7,0.2,0.8139
10,5.a,"MD5: 128 bits, SHA1: 160 bits. Ambos não dependem do tamanho da mensagem M.",1,1,1,0.9,0.8,0.9267
11,5.b,"Não existe tamanho mínimo, pode ser aplicado também a uma string vazia.",1,1,0.8,0.8,0.8,0.8532
12,1.a," s6, s5, h8, H7, S4, S1, H3, H4, h5, s3, h6, H5, h7, H6, s4.",1,0.4,0.6,0.7,0.6,0.8011
